0,あ
1,い
2,う
3,え
4,お
5,か
6,が
7,き
8,ぎ
9,く
10,ぐ
11,け
12,げ
13,こ
14,ご
15,さ
16,ざ
17,し
18,じ
19,す
20,ず
21,せ
22,ぜ
23,そ
24,ぞ
25,た
26,だ
27,ち
28,ぢ
29,つ
30,づ
31,て
32,で
33,と
34,ど
35,な
36,に
37,ぬ
38,ね
39,の
40,は
41,ば
42,ぱ
43,ひ
44,び
45,ぴ
46,ふ
47,ぶ
48,ぷ
49,へ
50,べ
51,ぺ
52,ほ
53,ぼ
54,ぽ
55,ま
56,み
57,む
58,め
59,も
60,や
61,ゆ
62,よ
63,ら
64,り
65,る
66,れ
67,ろ
68,わ
69,を
70,ん
71,一
72,丁
73,七
74,万
75,丈
76,三
77,上
78,下
79,不
80,与
81,丑
82,且
83,世
84,丘
85,丙
86,丞
87,両
88,並
89,中
90,串
91,丸
92,丹
93,主
94,乃
95,久
96,之
97,乍
98,乎
99,乏
100,乗
101,乙
102,九
103,乞
104,也
105,乱
106,乳
107,乾
108,亀
109,了
110,予
111,争
112,事
113,二
114,云
115,互
116,五
117,井
118,亘
119,亙
120,些
121,亜
122,亡
123,交
124,亥
125,亦
126,亨
127,享
128,京
129,亭
130,亮
131,人
132,什
133,仁
134,仇
135,今
136,介
137,仏
138,仔
139,仕
140,他
141,付
142,仙
143,代
144,令
145,以
146,仮
147,仰
148,仲
149,件
150,任
151,企
152,伊
153,伍
154,伎
155,伏
156,伐
157,休
158,会
159,伝
160,伯
161,伴
162,伶
163,伸
164,伺
165,似
166,伽
167,佃
168,但
169,位
170,低
171,住
172,佐
173,佑
174,体
175,何
176,余
177,作
178,佳
179,併
180,佼
181,使
182,侃
183,例
184,侍
185,供
186,依
187,侠
188,価
189,侭
190,侮
191,侯
192,侵
193,侶
194,便
195,係
196,促
197,俄
198,俊
199,俗
200,保
201,信
202,俣
203,修
204,俳
205,俵
206,俸
207,俺
208,倉
209,個
210,倍
211,倒
212,倖
213,候
214,借
215,倣
216,値
217,倦
218,倫
219,倭
220,倶
221,倹
222,偉
223,偏
224,停
225,健
226,偲
227,側
228,偵
229,偶
230,偽
231,傍
232,傑
233,傘
234,備
235,催
236,傭
237,債
238,傷
239,傾
240,僅
241,働
242,像
243,僑
244,僕
245,僚
246,僧
247,僻
248,儀
249,億
250,儒
251,償
252,優
253,儲
254,允
255,元
256,兄
257,充
258,兆
259,兇
260,先
261,光
262,克
263,免
264,兎
265,児
266,党
267,兜
268,入
269,全
270,八
271,公
272,六
273,共
274,兵
275,其
276,具
277,典
278,兼
279,内
280,円
281,冊
282,再
283,冒
284,冗
285,写
286,冠
287,冥
288,冨
289,冬
290,冴
291,冶
292,冷
293,凄
294,准
295,凋
296,凌
297,凍
298,凝
299,凡
300,処
301,凧
302,凪
303,凱
304,凶
305,凸
306,凹
307,出
308,函
309,刀
310,刃
311,分
312,切
313,刈
314,刊
315,刑
316,列
317,初
318,判
319,別
320,利
321,到
322,制
323,刷
324,券
325,刺
326,刻
327,剃
328,則
329,削
330,前
331,剖
332,剛
333,剣
334,剤
335,剥
336,副
337,剰
338,割
339,創
340,劃
341,劇
342,劉
343,力
344,功
345,加
346,劣
347,助
348,努
349,劫
350,励
351,労
352,効
353,劾
354,勃
355,勅
356,勇
357,勉
358,動
359,勘
360,務
361,勝
362,募
363,勢
364,勤
365,勧
366,勲
367,勺
368,勾
369,勿
370,匁
371,匂
372,包
373,化
374,北
375,匙
376,匝
377,匠
378,匡
379,匪
380,匹
381,区
382,医
383,匿
384,十
385,千
386,升
387,午
388,半
389,卑
390,卒
391,卓
392,協
393,南
394,単
395,博
